trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
32,False,"{'a': 0.85, 'e': 0.0009765625}",20,1,30.49913145334594,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.85, 'e': 0.0009182736455463728}",25,8,23.39404533662607,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.85, 'e': 0.0008650519031141869}",30,7,35.301123384570545,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.85, 'e': 0.0008163265306122449}",25,18,13.696141982696869,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.85, 'e': 0.0007716049382716049}",30,19,14.534947508330786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.85, 'e': 0.0007304601899196494}",30,11,31.24679117893527,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.85, 'e': 0.0006925207756232687}",30,16,24.64655449462294,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.85, 'e': 0.0006574621959237344}",35,1,32.93587869183847,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.85, 'e': 0.000625}",25,0,24.4587996936882,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.85, 'e': 0.000594883997620464}",20,14,9.66030033236807,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.85, 'e': 0.0005668934240362812}",30,2,41.35692784691245,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.85, 'e': 0.0005408328826392645}",30,8,29.976578119893013,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.85, 'e': 0.0005165289256198347}",25,15,17.421399027361787,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.85, 'e': 0.0004938271604938272}",20,3,26.971625138926314,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.85, 'e': 0.0004725897920604915}",20,12,12.937552378496125,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.85, 'e': 0.0004526935264825713}",25,11,-16.59107435736569,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.85, 'e': 0.00043402777777777775}",30,11,28.471994083836954,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.85, 'e': 0.00041649312786339027}",35,12,40.983652256251155,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.85, 'e': 0.0004}",25,0,35.99064595154431,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.85, 'e': 0.00038446751249519417}",25,15,0.6204189263574651,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.85, 'e': 0.0003698224852071006}",20,12,11.84987009045198,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.85, 'e': 0.000355998576005696}",25,19,14.161286653385893,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.85, 'e': 0.0003429355281207133}",20,7,23.23340963596084,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.85, 'e': 0.00033057851239669424}",20,10,15.91117840045415,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.85, 'e': 0.00031887755102040814}",25,13,20.65804480631477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.85, 'e': 0.0003077870113881194}",25,18,10.39578461000545,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.85, 'e': 0.00029726516052318666}",25,0,34.842403621456754,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.85, 'e': 0.0002872737719046251}",20,12,12.913888150737373,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.85, 'e': 0.0002777777777777778}",20,5,28.20617227465612,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.85, 'e': 0.0002687449610319806}",20,2,12.069642575242048,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.85, 'e': 0.00026014568158168577}",20,2,28.869033654397118,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.85, 'e': 0.0002519526329050139}",25,7,-11.252624187994185,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.85, 'e': 0.000244140625}",20,13,-0.2238422740480619,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.85, 'e': 0.00023668639053254438}",25,0,40.518778766667374,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.85, 'e': 0.0002295684113865932}",25,5,29.681842706873674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.85, 'e': 0.00022276676319893073}",30,24,12.36057156160257,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.85, 'e': 0.00021626297577854672}",20,5,-15.634633647487592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.85, 'e': 0.00021003990758244065}",20,6,27.450631621845464,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.85, 'e': 0.00020408163265306123}",20,0,33.3256251796348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.85, 'e': 0.00019837333862328903}",20,9,19.066740797082602,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.85, 'e': 0.00019290123456790122}",25,17,14.593620141723624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.85, 'e': 0.00018765246762994934}",20,6,26.727212022523958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.85, 'e': 0.00018261504747991235}",25,16,17.767901448797897,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.85, 'e': 0.00017777777777777779}",25,9,28.597824836944845,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.85, 'e': 0.00017313019390581717}",20,14,12.255331684791502,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.85, 'e': 0.00016866250632484398}",25,7,31.031306880190026,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.85, 'e': 0.0001643655489809336}",20,0,31.81380477037879,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.85, 'e': 0.0001602307322544464}",20,11,11.733333150182716,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.85, 'e': 0.00015625}",30,0,36.47990588514905,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.85, 'e': 0.00015241579027587258}",20,12,12.6064894930904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.85, 'e': 0.000148720999405116}",20,12,18.77168039827548,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.85, 'e': 0.00014515894904920887}",30,0,44.30152778015151,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.85, 'e': 0.0001417233560090703}",25,7,26.660883826013837,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.85, 'e': 0.0001384083044982699}",25,6,29.58504336852861,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.85, 'e': 0.00013520822065981613}",25,11,22.76699728272639,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.85, 'e': 0.0001321178491214163}",25,0,40.07079960647049,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.85, 'e': 0.00012913223140495868}",20,1,27.471632823462297,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.85, 'e': 0.00012624668602449185}",20,0,28.090260559633027,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.85, 'e': 0.0001234567901234568}",25,0,43.1477576111886,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.85, 'e': 0.00012075836251660427}",20,7,24.646585960501792,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.85, 'e': 0.00011814744801512288}",35,17,27.399453821858316,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.85, 'e': 0.00011562030292519366}",20,4,29.738304014149058,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.85, 'e': 0.00011317338162064282}",30,8,37.12883234276087,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.85, 'e': 0.00011080332409972299}",30,11,28.81509121779222,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.85, 'e': 0.00010850694444444444}",30,13,31.38384647038054,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.85, 'e': 0.00010628122010840685}",20,4,25.432367418461094,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.85, 'e': 0.00010412328196584757}",30,10,36.216347876809955,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.85, 'e': 0.00010203040506070809}",20,16,7.276124787027122,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.85, 'e': 0.0001}",25,10,21.70453236233386,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.85, 'e': 9.802960494069208e-05}",30,13,26.074149987000702,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.85, 'e': 9.611687812379854e-05}",30,20,20.832274726829283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.85, 'e': 9.425959091337543e-05}",20,0,25.871197647584797,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.85, 'e': 9.245562130177515e-05}",20,12,13.183708096214044,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.85, 'e': 9.070294784580499e-05}",25,17,11.208137159504101,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.85, 'e': 8.8999644001424e-05}",25,15,15.692132516862074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.85, 'e': 8.734387282732117e-05}",25,0,38.07047520385272,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.85, 'e': 8.573388203017832e-05}",20,13,4.057043851331523,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.85, 'e': 8.416799932665601e-05}",25,16,19.692954538375318,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.85, 'e': 8.264462809917356e-05}",30,0,0.3545739138022159,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.85, 'e': 8.116224332440549e-05}",20,15,11.441312436164619,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.85, 'e': 7.971938775510203e-05}",20,7,20.104624655135215,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.85, 'e': 7.831466833737959e-05}",25,8,22.727043540846672,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.85, 'e': 7.694675284702985e-05}",25,7,25.967168470139033,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.85, 'e': 7.561436672967863e-05}",30,17,18.48005995588568,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.85, 'e': 7.431629013079666e-05}",20,16,6.327883685292203,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.85, 'e': 7.305135510263716e-05}",25,3,32.64984125908388,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.85, 'e': 7.181844297615628e-05}",30,12,32.46567800814448,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.85, 'e': 7.06164818868724e-05}",20,11,13.405553070634037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.85, 'e': 6.944444444444444e-05}",30,19,21.381417936439313,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.85, 'e': 6.830134553650706e-05}",25,6,30.625476731532462,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.85, 'e': 6.718624025799516e-05}",20,11,15.173519142283281,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.85, 'e': 6.609822195782933e-05}",30,18,13.63669954194539,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.85, 'e': 6.503642039542144e-05}",20,10,19.687322375959585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.85, 'e': 6.4e-05}",20,0,29.505200284804104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
126,False,"{'a': 0.85, 'e': 6.298815822625347e-05}",30,16,27.113625169406465,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.85, 'e': 6.2000124000248e-05}",25,16,17.533796478136143,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.85, 'e': 6.103515625e-05}",20,3,28.567430926843112,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.85, 'e': 6.009254251547383e-05}",20,14,11.528728397418687,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.85, 'e': 5.9171597633136094e-05}",25,8,27.521317783979462,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.85, 'e': 5.8271662490530857e-05}",25,20,8.54841357799278,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.85, 'e': 5.73921028466483e-05}",30,23,14.11480579318787,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.85, 'e': 5.6532308214144386e-05}",20,10,17.566441097623517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.85, 'e': 5.569169079973268e-05}",25,11,28.840853760681476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.85, 'e': 5.486968449931413e-05}",35,18,35.084829164667504,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.85, 'e': 5.406574394463668e-05}",30,22,12.761049134492566,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.85, 'e': 5.3279343598486864e-05}",20,16,7.024502951937869,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.85, 'e': 5.250997689561016e-05}",30,18,21.070330653529506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.85, 'e': 5.175715542673774e-05}",20,3,31.50242750922944,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.85, 'e': 5.102040816326531e-05}",20,12,12.257388556701297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.85, 'e': 5.02992807202857e-05}",25,10,27.09390187384904,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.85, 'e': 4.959333465582226e-05}",20,2,27.572840532817878,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 4.959333465582226e-05}",20,4,26.934999886976843,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 4.959333465582226e-05}",30,16,31.71042128996248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 4.959333465582226e-05}",20,0,27.527665348869586,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 4.959333465582226e-05}",30,12,26.097098381033906,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 4.959333465582226e-05}",25,7,32.70604510834596,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 4.959333465582226e-05}",30,20,20.19410338778129,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 4.959333465582226e-05}",20,10,17.965830089965227,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 4.959333465582226e-05}",30,16,24.26949737249457,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 4.959333465582226e-05}",20,15,9.674919850893264,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 4.959333465582226e-05}",25,14,18.015990373736685,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
